# question	answer	fact
# Dictionary foundation lessons for fsot_mind brain-learn
what does lie mean	be	lie means be lying, be prostrate; be in a horizontal position. Example: The sick man lay in bed all day
what does cut mean	separate	cut means separate with or as if with an instrument. Example: Cut the rope
what does run mean	move	run means move fast by using one's feet, with one foot off the ground at any given time. Example: Don't run--you'll be out of breath
what does buy mean	obtain	buy means obtain by purchase; acquire by means of a financial transaction. Example: The family purchased a new car
what does pay mean	give	pay means give money, usually in exchange for goods or services. Example: I paid four dollars for this sandwich
what does let mean	make	let means make it possible through a specific action or lack of action for something to happen. Example: This permits the water to rush in
what does try mean	make	try means make an effort or attempt. Example: He tried to shake off his fears
what does end mean	have	end means have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical. Example: the bronchioles terminate in a capillary bed
what does dead mean	no	dead means no longer having or seeming to have or expecting to have life. Example: the nerve is dead
what does best mean	superlative	best means (superlative of `good') having the most positive qualities. Example: the best film of the year
what does sure mean	having	sure means having or feeling no doubt or uncertainty; confident and assured. Example: felt certain of success
what does easy mean	posing	easy means posing no difficulty; requiring little effort. Example: an easy job
what does good mean	having	good means having desirable or positive qualities especially those suitable for a thing specified. Example: good news from the hospital
what does loud mean	characterized	loud means characterized by or producing sound of great volume or intensity. Example: a group of loud children
what does much mean	quantifier	much means (quantifier used with mass nouns) great in quantity or degree or extent. Example: not much rain
what does last mean	immediately	last means immediately past. Example: last Thursday
what does same mean	closely	same means closely similar or comparable in kind or quality or quantity or degree. Example: curtains the same color as the walls
what does four mean	being	four means being one more than three.
what does five mean	being	five means being one more than four.
what does tall mean	great	tall means great in vertical dimension; high in stature. Example: tall people
what does true mean	consistent	true means consistent with fact or reality; not false; ; - B. Russell. Example: the story is true
what does just mean	and	just means and nothing more. Example: I was merely asking
what does only mean	and	only means and nothing more. Example: I was merely asking
what does even mean	used	even means used as an intensive especially to indicate something unexpected. Example: even an idiot knows that
what does very mean	used	very means used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal. Example: she was very gifted
what does soon mean	in	soon means in the near future. Example: the doctor will soon be here
what does thus mean	used	thus means (used to introduce a logical conclusion) from that fact or reason or as a result. Example: therefore X must be true
what does also mean	in	also means in addition. Example: he has a Mercedes, too
what does back mean	in	back means in or to or toward a former location. Example: she went back to her parents' house
what does down mean	spatially	down means spatially or metaphorically from a higher to a lower level or position. Example: don't fall down
what does home mean	at	home means at or to or in the direction of one's home or family. Example: He stays home on weekends
what does less mean	used	less means used to form the comparative of some adjectives and adverbs. Example: less interesting
what does here mean	in	here means in or at this place; where the speaker or writer is. Example: I work here
what does then mean	subsequently	then means subsequently or soon afterward (often used as sentence connectors). Example: then he left
what does once mean	on	once means on one occasion. Example: once I ran into her
what does ever mean	at	ever means at any time. Example: did you ever smoke?
what does away mean	from	away means from a particular thing or place or position (`forth' is obsolete). Example: ran away from the lion
what does work mean	activity	work means activity directed toward making or doing something. Example: she checked several points needing further work
what does art mean	the	art means the products of human creativity; works of art collectively. Example: an art exhibition
what does cell mean	any	cell means any small compartment. Example: the cells of a honeycomb
what does door mean	a	door means a swinging or sliding barrier that will close the entrance to a room or building or vehicle. Example: he knocked on the door
what does road mean	an	road means an open way (generally public) for travel or transportation.
what does room mean	an	room means an area within a building enclosed by walls and floor and ceiling. Example: the rooms were very small but they had a nice view
what does size mean	the	size means the physical magnitude of something (how big it is). Example: a wolf is about the size of a large dog
what does body mean	the	body means the entire structure of an organism (an animal, plant, or human being). Example: he felt as if his whole body were on fire
what does foot mean	the	foot means the part of the leg of a human being below the ankle joint. Example: his bare feet projected from his trousers
what does hand mean	the	hand means the (prehensile) extremity of the superior limb. Example: he had the hands of a surgeon
what does face mean	the	face means the front of the human head from the forehead to the chin and ear to ear. Example: he washed his face
what does mind mean	that	mind means that which is responsible for one's thoughts and feelings; the seat of the faculty of reason. Example: his mind wandered
what does life mean	the	life means the experience of being alive; the course of human events and activities. Example: he could no longer cope with the complexities of life
what does fact mean	a	fact means a piece of information about circumstances that exist or events that have occurred. Example: first you must collect all the facts of the case
what does idea mean	the	idea means the content of cognition; the main thing you are thinking about. Example: it was not a good idea
what does kind mean	a	kind means a category of things distinguished by some common characteristic or quality. Example: sculpture is a form of art
what does sort mean	a	sort means a category of things distinguished by some common characteristic or quality. Example: sculpture is a form of art
what does form mean	a	form means a category of things distinguished by some common characteristic or quality. Example: sculpture is a form of art
what does type mean	a	type means a subdivision of a particular kind of thing. Example: what type of sculpture do you prefer?
what does plan mean	a	plan means a series of steps to be carried out or goals to be accomplished. Example: they drew up a six-step plan
what does word mean	a	word means a unit of language that native speakers can identify. Example: words are the blocks from which sentences are made
what does name mean	a	name means a language unit by which a person or thing is known. Example: his name really is George Washington
what does text mean	the	text means the words of something written. Example: there were more than a thousand words of text
what does list mean	a	list means a database containing an ordered array of items (names or topics).
what does case mean	an	case means an occurrence of something. Example: it was a case of bad judgment
what does time mean	an	time means an instance or single occasion for some event. Example: this time he succeeded
what does army mean	a	army means a permanent organization of the military land forces of a nation or state.
what does line mean	a	line means a formation of people or things one beside another. Example: the line of soldiers advanced with their bayonets fixed
what does data mean	a	data means a collection of facts from which conclusions may be drawn. Example: statistical data
what does city mean	a	city means a large and densely populated urban area; may include several independent administrative districts. Example: Ancient Troy was a great city
what does side mean	a	side means a place within a region identified relative to a center or reference location. Example: they always sat on the right side of the church
what does site mean	the	site means the piece of land on which something is located (or is to be located). Example: a good site for the school
what does town mean	an	town means an urban area with a fixed boundary that is smaller than a city. Example: they drive through town on their way to work
what does sky mean	the	sky means the atmosphere and outer space as viewed from the earth.
what does girl mean	a	girl means a youthful female person. Example: the baby was a girl
what does wife mean	a	wife means a married woman; a man's partner in marriage.
what does cost mean	the	cost means the total spent for goods or services including money and time and labor.
what does wage mean	something	wage means something that remunerates. Example: wages were paid by check
what does part mean	something	part means something determined in relation to something that includes it. Example: he wanted to feel a part of something bigger than himself
what does need mean	a	need means a condition requiring relief. Example: she satisfied his need for affection
what does week mean	any	week means any period of seven consecutive days. Example: it rained for a week
what does year mean	a	year means a period of time containing 365 (or 366) days. Example: she is 4 years old
what does hour mean	a	hour means a period of time equal to 1/24th of a day. Example: the job will take more than an hour
what does rate mean	a	rate means a magnitude or frequency relative to a time unit. Example: they traveled at a rate of 55 miles per hour
what does wear mean	be	wear means be dressed in. Example: She was wearing yellow that day
what does make mean	give	make means give certain properties to something. Example: get someone mad
what does have mean	cause	have means cause to move; cause to be in a certain position or condition. Example: He got his squad on the ball
what does grow mean	pass	grow means pass into a condition gradually, take on a specific property or attribute; become. Example: The weather turned nasty
what does come mean	come	come means come to pass; arrive, as in due course. Example: The first success came three days later
what does fill mean	make	fill means make full, also in a metaphorical sense. Example: fill a container
what does know mean	be	know means be familiar or acquainted with a person or an object. Example: She doesn't know this composer
what does hear mean	get	hear means get to know or become aware of, usually accidentally. Example: I learned that she has two grown-up children
what does read mean	interpret	read means interpret something that is written or printed. Example: read the advertisement
what does base mean	use	base means use as a basis for; found on. Example: base a claim on some observation
what does show mean	establish	show means establish the validity of something, as by an example, explanation or experiment. Example: The experiment demonstrated the instability of the compound
what does find mean	come	find means come to believe on the basis of emotion, intuitions, or indefinite grounds. Example: I feel that he doesn't like me
what does feel mean	come	feel means come to believe on the basis of emotion, intuitions, or indefinite grounds. Example: I feel that he doesn't like me
what does tell mean	give	tell means give instructions to or direct somebody to do something with authority. Example: I said to him to go home
what does mean mean	mean	mean means mean or intend to express or convey. Example: You never understand what I mean!
what does talk mean	exchange	talk means exchange thoughts; talk with. Example: We often talk business
what does call mean	ascribe	call means ascribe a quality to or give a name of a common noun that reflects a quality. Example: He called me a bastard
what does file mean	record	file means record in a public office or in a court of law. Example: file for divorce
what does play mean	participate	play means participate in games or sport. Example: We played hockey all afternoon
what does take mean	get	take means get into one's hands, take physically. Example: Take a cookie!
what does hold mean	have	hold means have or hold in one's hands or grip. Example: Hold this bowl for a moment, please
what does kill mean	cause	kill means cause to die; put to death, usually intentionally or knowingly. Example: This man killed several people when he tried to rob a bank
what does open mean	cause	open means cause to open or to become open. Example: Mary opened the car door
what does hate mean	dislike	hate means dislike intensely; feel antipathy or aversion towards. Example: I hate Mexican food
what does like mean	find	like means find enjoyable or agreeable. Example: I like jogging
what does care mean	feel	care means feel concern or interest. Example: I really care about my work
what does want mean	feel	want means feel or have a desire for; want strongly. Example: I want to go home now
what does hope mean	expect	hope means expect and wish. Example: I trust you will behave better from now on
what does move mean	move	move means move so as to change position, perform a nontranslational motion. Example: He moved his hand slightly to the right
what does stop mean	come	stop means come to a halt, stop moving. Example: the car stopped
what does push mean	move	push means move with force,. Example: He pushed the table into a corner
what does walk mean	use	walk means use one's feet to advance; advance by steps. Example: Walk, don't run!
what does turn mean	change	turn means change orientation or direction, also in the abstract sense. Example: Turn towards me
what does send mean	cause	send means cause to go somewhere. Example: The explosion sent the car flying in the air
what does ride mean	sit	ride means sit and travel on the back of animal, usually while controlling its motions. Example: She never sat a horse!
what does look mean	perceive	look means perceive with attention; direct one's gaze towards. Example: She looked over the expanse of land
what does seem mean	give	seem means give a certain impression or have a certain outward aspect. Example: She seems to be sleeping
what does give mean	transfer	give means transfer possession of something concrete or abstract to somebody. Example: I gave her my money
what does sell mean	exchange	sell means exchange or deliver for money or its equivalent. Example: He sold his house in January
what does lose mean	fail	lose means fail to keep or to maintain; cease to have, either physically or in an abstract sense. Example: She lost her purse when she left it unattended on her seat
what does join mean	become	join means become part of; become a member of a group or organization. Example: He joined the Communist Party as a young man
what does fail mean	fail	fail means fail to do something; leave something undone. Example: She failed to notice that her child was no longer in his crib
what does help mean	give	help means give help or assistance; be of service. Example: Everyone helped out during the earthquake
what does live mean	lead	live means lead a certain kind of life; live in a certain style. Example: we had to live frugally after the war
what does wait mean	stay	wait means stay in one place and anticipate or expect something. Example: I had to wait on line for an hour to get the tickets
what does keep mean	keep	keep means keep in a certain state, position, or activity; e.g.,. Example: keep clean
what does tend mean	have	tend means have a tendency or disposition to do or be something; be inclined. Example: She tends to be nervous before her lectures
what does dark mean	devoid	dark means devoid of or deficient in light or brightness; shadowed or black. Example: sitting in a dark corner
what does clear mean	readily	clear means readily apparent to the mind. Example: a clear and present danger
what does first mean	preceding	first means preceding all others in time or space or degree. Example: the first house on the right
what does large mean	above	large means above average in size or number or quantity or magnitude or extent. Example: a large city
what does great mean	relatively	great means relatively large in size or number or extent; larger than others of its kind. Example: a great juicy steak
what does small mean	limited	small means limited or below average in number or quantity or magnitude or extent. Example: a little dining room
what does young mean	used	young means (used of living things especially persons) in an early period of life or development or growth. Example: young people
what does ready mean	completely	ready means completely prepared or in condition for immediate action or use or progress. Example: get ready
what does other mean	not	other means not the same one or ones already mentioned or implied; - the White Queen. Example: today isn't any other day
what does three mean	being	three means being one more than two.
what does third mean	coming	third means coming next after the second and just before the fourth in position.
what does about mean	of	about means (of quantities) imprecise but fairly close to correct. Example: lasted approximately an hour
what does quite mean	to	quite means to a degree (not used with a negative). Example: quite tasty
what does never mean	not	never means not ever; at no time in the past or future. Example: I have never been to China
what does still mean	despite	still means despite anything to the contrary (usually following a concession). Example: although I'm a little afraid, however I'd like to try it
what does often mean	many	often means many times at short intervals. Example: we often met over a cup of coffee
what does later mean	happening	later means happening at a time subsequent to a reference time. Example: he apologized subsequently
what does there mean	in	there means in or at that place. Example: they have lived there for years
what does maybe mean	by	maybe means by chance. Example: perhaps she will call tomorrow
what does event mean	something	event means something that happens at a given place and time.
what does group mean	any	group means any number of entities (members) considered as a unit.
what does thing mean	an	thing means an action. Example: how could you do such a thing?
what does means mean	how	means means how a result is obtained or an end is achieved. Example: a means of control
what does study mean	a	study means a detailed critical inspection.
what does horse mean	solid-hoofed	horse means solid-hoofed herbivorous quadruped domesticated since prehistoric times.
what does anode mean	a	anode means a positively charged electrode by which electrons leave an electrical device.
what does farm mean	workplace	farm means workplace consisting of farm buildings and cultivated land as a unit. Example: it takes several people to work the farm
what does house mean	a	house means a dwelling that serves as living quarters for one or more families. Example: he has a house on Cape Cod
what does plant mean	buildings	plant means buildings for carrying on industrial labor. Example: they built a large plant to manufacture automobiles
what does rifle mean	a	rifle means a shoulder firearm with a long barrel and a rifled bore. Example: he lifted the rifle to his shoulder and fired
what does ship mean	a	ship means a vessel that carries passengers or freight.
what does voice mean	the	voice means the distinctive quality or pitch or condition of a person's speech. Example: A shrill voice sounded behind us
what does level mean	a	level means a position on a scale of intensity or amount or quality. Example: a moderate grade of intelligence
what does value mean	the	value means the quality (positive or negative) that renders something desirable or valuable. Example: the Shakespearean Shylock is of dubious value in the modern world
what does power mean	possession	power means possession of controlling influence. Example: the deterrent power of nuclear weapons
what does point mean	a	point means a geometric element that has position but no extension. Example: a point is defined by its coordinates
what does words mean	the	words means the words that are spoken. Example: I listened to his words very closely
what does enemy mean	an	enemy means an opposing military force. Example: the enemy attacked at dawn
what does table mean	a	table means a set of data arranged in rows and columns. Example: see table 1
what does state mean	the	state means the territory occupied by one of the constituent administrative districts of a nation. Example: his state is in the deep south
what does place mean	a	place means a point located with respect to surface features of some region. Example: this is a nice place for a picnic
what does earth mean	the	earth means the 3rd planet from the sun; the planet we live on. Example: the Earth moves around the sun
what does river mean	a	river means a large natural stream of water (larger than a creek). Example: the river was navigable for 50 miles
what does child mean	a	child means a young person of either sex. Example: she writes books for children
what does son mean	a	son means a male human offspring. Example: their son became a famous judge
what does woman mean	an	woman means an adult female person (as opposed to a man). Example: the woman kept house while the man hunted
what does youth mean	a	youth means a young person (especially a young man or boy).
what does smoke mean	a	smoke means a cloud of fine particles suspended in a gas.
what does money mean	the	money means the most common medium of exchange; functions as legal tender. Example: we tried to collect the money he owed us
what does inch mean	a	inch means a unit of length equal to one twelfth of a foot.
what does mile mean	a	mile means a unit of length equal to 1,760 yards or 5,280 feet; exactly 1609.344 meters.
what does night mean	the	night means the time after sunset and before sunrise while it is dark outside.
what does month mean	one	month means one of the twelve divisions of the calendar year. Example: he paid the bill last month
what does today mean	the	today means the present time or age. Example: the world of today
what does sleep mean	be	sleep means be asleep.
what does smile mean	change	smile means change one's facial expression by spreading the lips, often to signal pleasure.
what does laugh mean	produce	laugh means produce laughter.
what does occur mean	come	occur means come to pass. Example: What is happening?
what does begin mean	take	begin means take the first step or steps in carrying out an action. Example: We began working at dawn
what does start mean	take	start means take the first step or steps in carrying out an action. Example: We began working at dawn
what does learn mean	gain	learn means gain knowledge or skills. Example: She learned dancing from her sister
what does leave mean	go	leave means go and leave behind, either intentionally or by neglect or forgetfulness. Example: She left a mess when she moved out
what does agree mean	be	agree means be in accord; be in agreement. Example: We agreed on the terms of the settlement
what does reply mean	react	reply means react verbally. Example: She didn't want to answer
what does admit mean	declare	admit means declare to be true or admit the existence or reality or truth of. Example: He admitted his errors
what does teach mean	impart	teach means impart skills or knowledge to. Example: I taught them French
what does speak mean	express	speak means express in speech. Example: She talks a lot of nonsense
what does write mean	communicate	write means communicate or express by writing. Example: Please write to me every week
what does fight mean	be	fight means be engaged in a fight; carry on a fight. Example: the tribesmen fought each other
what does bring mean	cause	bring means cause to come into a particular state or condition. Example: Long hard years of on the job training had brought them to their competence
what does carry mean	move	carry means move while supporting, either in a vehicle or in one's hands or on one's body. Example: You must carry your camping gear
what does throw mean	propel	throw means propel through the air. Example: throw a frisbee
what does stand mean	be	stand means be standing; be upright. Example: We had to stand for the entire performance!
what does cause mean	give	cause means give rise to; cause to happen or occur, not always intentionally. Example: cause a commotion
what does build mean	make	build means make by combining materials and parts. Example: this little pig made his house out of straw
what does enjoy mean	derive	enjoy means derive or receive pleasure from; get enjoyment from; take pleasure in. Example: She relished her fame and basked in her glory
what does drive mean	operate	drive means operate or control a vehicle. Example: drive a car or bus
what does enter mean	to	enter means to come or go into. Example: the boat entered an area of shallow marshes
what does reach mean	reach	reach means reach a destination, either real or abstract. Example: We hit Detroit by noon
what does meet mean	come	meet means come together. Example: I'll probably see you at the meeting
what does stare mean	look	stare means look at with fixed eyes. Example: The students stared at the teacher with amazement
what does watch mean	look	watch means look attentively. Example: watch a basketball game
what does offer mean	make	offer means make available or accessible, provide or furnish. Example: The conference center offers a health spa
what does allow mean	make	allow means make it possible through a specific action or lack of action for something to happen. Example: This permits the water to rush in
what does exist mean	have	exist means have an existence, be extant. Example: Is there a God?
what does prove mean	be	prove means be shown or be found to be. Example: She proved to be right
what does serve mean	serve	serve means serve a purpose, role, or function. Example: The tree stump serves as a table
what does spend mean	pass	spend means pass time in a specific way. Example: how are you spending your summer vacation?
what does single mean	being	single means being or characteristic of a single thing or person. Example: individual drops of rain
what does latter mean	referring	latter means referring to the second of two things or persons mentioned (or the last one or ones of several). Example: in the latter case
what does larger mean	large	larger means large or big relative to something else.
what does little mean	limited	little means limited or below average in number or quantity or magnitude or extent. Example: a little dining room
what does likely mean	has	likely means has a good chance of being the case or of coming about. Example: these services are likely to be available to us all before long
what does modern mean	belonging	modern means belonging to the modern era; since the Middle Ages. Example: modern art
what does normal mean	conforming	normal means conforming with or constituting a norm or standard or level or type or social norm; not abnormal. Example: serve wine at normal room temperature
what does public mean	not	public means not private; open to or concerning the people as a whole. Example: the public good
what does simple mean	having	simple means having few parts; not complex or complicated or involved. Example: a simple problem
what does second mean	coming	second means coming next after the first in position in space or time or degree or magnitude.
what does strong mean	having	strong means having strength or power greater than average or expected. Example: a strong radio signal
what does enough mean	sufficient	enough means sufficient for the purpose. Example: an adequate income
what does social mean	relating	social means relating to human society and its members. Example: social institutions
what does jewish mean	of	jewish means of or relating to Jews or their culture or religion. Example: He is Jewish
what does merely mean	and	merely means and nothing more. Example: I was merely asking
what does rather mean	to	rather means to some (great or small) extent. Example: it was rather cold
what does always mean	at	always means at all times; all the time and on every occasion. Example: I will always be there to help you
what does really mean	in	really means in accordance with truth or fact or reality. Example: she was now truly American
what does indeed mean	in	indeed means in truth (often tends to intensify). Example: they said the car would break down and indeed it did
what does before mean	earlier	before means earlier in time; previously. Example: I had known her before
what does almost mean	of	almost means (of actions or states) slightly short of or not quite accomplished; all but. Example: the job is (just) about done
what does nearly mean	of	nearly means (of actions or states) slightly short of or not quite accomplished; all but. Example: the job is (just) about done
what does slowly mean	without	slowly means without speed (`slow' is sometimes used informally for `slowly'). Example: he spoke slowly
what does object mean	a	object means a tangible and visible entity; an entity that can cast a shadow. Example: it was full of rackets, balls and other objects
what does person mean	a	person means a human being. Example: there was too much for one person to do
what does animal mean	a	animal means a living organism characterized by voluntary movement.
what does action mean	something	action means something done (usually as opposed to something said). Example: there were stories of murders and other unnatural actions
what does effort mean	earnest	effort means earnest and conscientious activity intended to do or accomplish something. Example: made an effort to cover all the reading material
what does course mean	education	course means education imparted in a series of lessons or meetings. Example: he took a course in basket weaving
what does battle mean	a	battle means a hostile meeting of opposing military forces in the course of a war. Example: Grant won a decisive victory in the battle of Chickamauga
what does church mean	a	church means a place for public (especially Christian) worship. Example: the church was empty
what does office mean	place	office means place of business where professional or clerical duties are performed. Example: he rented an office in the new building
what does street mean	a	street means a thoroughfare (usually including sidewalks) that is lined with buildings. Example: they walked the streets of the small town
what does number mean	the	number means the property possessed by a sum or total or indefinite quantity of units or individuals. Example: he had a number of chores to do
what does finger mean	any	finger means any of the terminal members of the hand (sometimes excepting the thumb). Example: her fingers were long and thin
what does letter mean	a	letter means a written message addressed to a person or organization. Example: mailed an indignant letter to the editor
what does figure mean	a	figure means a diagram or picture illustrating textual material. Example: the area covered can be seen from Figure 2
what does stress mean	the	stress means the relative prominence of a syllable or musical note (especially with regard to stress or pitch). Example: he put the stress on the wrong syllable
what does report mean	a	report means a written document describing the findings of some individual or group. Example: this accords with the recent study by Hill and Dale
what does people mean	plural	people means (plural) any group of human beings (men or women or children) collectively. Example: old people
what does family mean	primary	family means primary social group; parents and children. Example: he wanted to have a good job before starting a family
what does school mean	an	school means an educational institution. Example: the school was founded in 1900
what does center mean	an	center means an area that is approximately central within some larger region. Example: it is in the center of town
what does field mean	a	field means a piece of land cleared of trees and usually enclosed. Example: he planted a field of wheat
what does region mean	the	region means the extended spatial location of something. Example: the farming regions of France
what does reason mean	a	reason means a rational motive for a belief or action. Example: the reason that war was declared
what does ground mean	the	ground means the solid part of the earth's surface. Example: the plane turned away from the sea and moved back over land
what does world mean	everything	world means everything that exists anywhere. Example: they study the evolution of the universe
what does doctor mean	a	doctor means a licensed medical practitioner. Example: I felt so bad I went to see my doctor
what does father mean	a	father means a male parent (also used as a term of address to your father). Example: his father was born in Atlanta
what does friend mean	a	friend means a person you know well and regard with affection and trust. Example: he was my best friend at the university
what does mother mean	a	mother means a woman who has given birth to a child (also used as a term of address to your mother). Example: the mother of three children
what does effect mean	a	effect means a phenomenon that follows and is caused by some previous phenomenon. Example: the magnetic effect was greater when the rod was lengthwise
what does result mean	a	result means a phenomenon that follows and is caused by some previous phenomenon. Example: the magnetic effect was greater when the rod was lengthwise
what does period mean	an	period means an amount of time. Example: a time period of 30 years
what does minute mean	a	minute means a unit of time equal to 60 seconds or 1/60th of an hour. Example: he ran a 4 minute mile
what does moment mean	a	moment means a particular point in time. Example: the moment he arrived the party began
what does change mean	undergo	change means undergo a change; become different in essence; losing one's or its original nature. Example: She changed completely as she grew older
what does remain mean	stay	remain means stay the same; remain in a certain state. Example: The dress remained wet after repeated attempts to dry it
what does become mean	enter	become means enter or assume a certain state or condition. Example: He became annoyed when he heard the bad news
what does remove mean	remove	remove means remove something concrete, as by lifting, pushing, or taking off, or remove something abstract. Example: remove a threat
what does happen mean	come	happen means come to pass. Example: What is happening?
what does appear mean	come	appear means come into sight or view. Example: He suddenly appeared at the wedding
what does reduce mean	cut	reduce means cut down on; make a reduction in. Example: reduce your daily fat intake
what does forget mean	dismiss	forget means dismiss from the mind; stop remembering. Example: I tried to bury these unpleasant memories
what does assume mean	take	assume means take to be the case or to be true; accept without verification or proof. Example: I assume his train was late
what does choose mean	pick	choose means pick out, select, or choose from a number of alternatives. Example: Take any one of these cards
what does select mean	pick	select means pick out, select, or choose from a number of alternatives. Example: Take any one of these cards
what does decide mean	reach	decide means reach, make, or come to a decision about something. Example: We finally decided after lengthy deliberations
what does expect mean	regard	expect means regard something as probable or likely. Example: The meteorologists are expecting rain for tomorrow
what does wonder mean	have	wonder means have a wish or desire to know something. Example: He wondered who had built this beautiful church
what does permit mean	consent	permit means consent to, give permission. Example: She permitted her son to visit her estranged husband
what does answer mean	react	answer means react verbally. Example: She didn't want to answer
what does insist mean	be	insist means be emphatic or resolute and refuse to budge. Example: I must insist!
what does create mean	make	create means make or cause to be or to become. Example: make a mess in one's office
what does wish mean	hope	wish means hope for; have a wish. Example: I wish I could go home now
what does follow mean	to	follow means to travel behind, go after, come after. Example: The ducklings followed their mother around the pond
what does return mean	go	return means go or come back to place, condition, or activity where one has been before. Example: return to your native land
what does arrive mean	reach	arrive means reach a destination; arrive by movement or progress. Example: She arrived home at 7 o'clock
what does listen mean	hear	listen means hear with intention. Example: Listen to the sound of this cello
what does obtain mean	come	obtain means come into possession of. Example: How did you obtain the visa?
what does attend mean	be	attend means be present at (meetings, church services, university), etc.. Example: She attends class regularly
what does certain mean	definite	certain means definite but not specified or identified. Example: set aside a certain sum each week
what does general mean	applying	general means applying to all or most members of a category or group. Example: the general public
what does present mean	temporal	present means temporal sense; intermediate between past and future; now existing or happening or in consideration. Example: the present leader
what does another mean	any	another means any of various alternatives; some other. Example: put it off to another (or some other) day
what does similar mean	marked	similar means marked by correspondence or resemblance. Example: similar food at similar prices
what does however mean	despite	however means despite anything to the contrary (usually following a concession). Example: although I'm a little afraid, however I'd like to try it
what does already mean	prior	already means prior to a specified or implied time. Example: she has already graduated
what does forward mean	at	forward means at or to or toward the front; ; ; ; (`forrad' and `forrard' are dialectal variations). Example: he faced forward
what does usually mean	under	usually means under normal conditions. Example: usually she was late
what does perhaps mean	by	perhaps means by chance. Example: perhaps she will call tomorrow
what does process mean	a	process means a particular course of action intended to achieve a result. Example: the procedure of obtaining a driver's license
what does product mean	commodities	product means commodities offered for sale. Example: good business depends on having good merchandise
what does shelter mean	a	shelter means a structure that provides privacy and protection from danger.
what does surface mean	the	surface means the outer boundary of an artifact or a material layer constituting or resembling such a boundary. Example: there is a special cleaner for these surfaces
what does manner mean	how	manner means how something is done or how it happens. Example: her dignified manner
what does color mean	a	color means a visual attribute of things that results from the light they emit or transmit or reflect. Example: a white color is made up of many different wavelengths of light
what does mouth mean	the	mouth means the opening through which food is taken in and vocalizations emerge. Example: he stuffed his mouth with candy
what does thought mean	the	thought means the content of cognition; the main thing you are thinking about. Example: it was not a good idea
what does program mean	a	program means a series of steps to be carried out or goals to be accomplished. Example: they drew up a six-step plan
